,Features,Importance
12,nO,6.752312174960645e-05
423,nHBDon,6.029107947614751e-05
218,SaasN,5.960775343654786e-05
114,nHBint8,5.8842616606888815e-05
452,MDEN-33,5.760585682245059e-05
469,nFRing,5.570696350476571e-05
299,minsCl,5.5450887267966536e-05
8,nHeavyAtom,5.4853905379659954e-05
493,VAdjMat,5.428365747267015e-05
13,nS,5.2909856025667225e-05
171,SwHBd,4.967715668147934e-05
155,ndO,4.967047218243686e-05
108,nHBint2,4.941763662342706e-05
104,nHBd,4.939504109464659e-05
129,nHCsatu,4.7301603968867594e-05
345,maxaaNH,4.6368867711806094e-05
0,nAcid,4.45825100061445e-05
16,nCl,4.245345138329227e-05
196,SHAvin,4.118901961241511e-05
189,SHtCH,4.064659802837668e-05
463,n5Ring,3.956905445612418e-05
450,MDEN-22,3.8725084201869624e-05
295,minssS,3.800978647849172e-05
52,C1SP1,3.770233567250902e-05
230,SaaS,3.4687461309279074e-05
333,maxtCH,3.3831293712028936e-05
331,maxdCH2,3.361300476980853e-05
256,minHdCH2,3.2003693499034734e-05
125,nHdsCH,3.0163376085496698e-05
136,ndsCH,2.8968538524212987e-05
321,maxHtCH,2.8034385851157956e-05
276,minsNH2,2.7011165950713464e-05
460,nRing,2.59578468893029e-05
350,maxaasN,2.5304383639501162e-05
159,nsF,2.4124330495747223e-05
300,minsBr,2.3023196118045756e-05
470,nF6Ring,1.950275861451872e-05
443,MDEC-44,1.7364973414220202e-05
150,naaN,1.7130577905695148e-05
49,nBondsT,1.4413230650520163e-05
168,nsBr,1.4285730281104304e-05
296,minaaS,1.4247959580094086e-05
277,mindNH,1.3774218997918252e-05
130,nHAvin,1.3673066187486213e-05
449,MDEN-13,1.3646455140170804e-05
152,naasN,1.3231757015887492e-05
234,SsBr,1.2820767860441303e-05
271,mintsC,1.279954199704852e-05
475,nF11Ring,1.2793103567834313e-05
164,naaS,1.2630481561709818e-05
448,MDEN-12,1.2555136282576757e-05
15,nF,1.213676783573704e-05
232,SddssS,1.1709475007942069e-05
143,nssssC,1.1481418117234092e-05
376,ETA_dAlpha_A,1.0913930862234527e-05
361,maxsBr,9.89754841893496e-06
186,SHsNH2,9.664940390246923e-06
479,nT4Ring,8.992893513208505e-06
205,StsC,8.720098664573134e-06
123,nHtCH,7.896767313042313e-06
316,maxHdNH,7.838700131664426e-06
105,nwHBd,7.524460061064414e-06
167,nsCl,7.400667392440244e-06
465,n7Ring,7.116245391288043e-06
121,nHssNH,6.776903651447681e-06
17,nBr,6.6744327419602525e-06
483,nT8Ring,6.6177705597893975e-06
62,SCH-4,6.488484207280897e-06
356,maxsOm,6.362576950956031e-06
325,maxHCHnX,5.754595917568512e-06
149,ndsN,5.402111784627728e-06
252,minHsNH2,5.063583021007928e-06
122,nHaaNH,4.967394436995941e-06
346,maxtN,4.836892180932938e-06
301,minsI,4.721356918948504e-06
337,maxtsC,3.988752423980859e-06
146,nssNH,3.5813031010479785e-06
214,StN,3.4408939804911297e-06
162,ndS,3.409010795358848e-06
298,minddssS,3.3759052651554632e-06
267,mintCH,2.973927146757694e-06
139,ntsC,2.9551928518063717e-06
157,naaO,2.6998922148972757e-06
190,SHdCH2,2.6919177532626763e-06
447,MDEN-11,2.5344624221455036e-06
199,SdCH2,2.3935693776787796e-06
124,nHdCH2,2.0114441283026935e-06
210,SsNH2,1.8440884362674532e-06
224,SsOm,1.7677796023692998e-06
127,nHCHnX,1.5335944714881686e-06
18,nI,1.502849689103651e-06
280,mintN,1.4608325124249234e-06
158,nsOm,1.3730385976415573e-06
133,ndCH2,1.058613340949821e-06
118,nHdNH,1.046409072090084e-06
53,C2SP1,1.044600892491946e-06
265,mindCH2,1.0097370978298691e-06
471,nF7Ring,1.0066318579473986e-06
293,minsSH,8.113143913489191e-07
144,nsNH2,7.192601539224886e-07
148,ntN,7.048501926200405e-07
343,maxdNH,6.922898938471577e-07
255,minHtCH,6.894784738053368e-07
201,StCH,6.774457485924126e-07
237,minwHBd,6.76593050999217e-07
211,SdNH,6.186974706102214e-07
259,minHCHnX,5.404889220336763e-07
290,minsOm,5.261652478636185e-07
166,nddssS,4.3440647755205e-07
120,nHsNH2,4.081531629883897e-07
472,nF8Ring,3.932159180737555e-07
462,n4Ring,3.5599551564939803e-07
184,SHdNH,2.483315075039182e-07
169,nsI,1.8107619235596047e-07
67,VCH-4,1.7949079592363016e-07
318,maxHsNH2,1.66645692355619e-07
342,maxsNH2,9.246806161913771e-08
250,minHdNH,8.569346907989173e-08
61,SCH-3,6.254575004914803e-08
297,mindssS,5.495910030876117e-08
466,n8Ring,5.100212196729188e-08
119,nHsSH,2.1835012772997785e-08
135,ntCH,1.0161421204415736e-08
389,ETA_dPsi_B,1.7126342414203787e-09
145,ndNH,1.0522191114127915e-09
66,VCH-3,1.6248046553422224e-10
358,maxsSH,0.0
351,maxssssNp,0.0
219,SssssNp,0.0
165,ndssS,0.0
185,SHsSH,0.0
14,nP,0.0
161,nsSH,0.0
226,SdsssP,0.0
468,nG12Ring,0.0
317,maxHsSH,0.0
160,ndsssP,0.0
227,SsSH,0.0
231,SdssS,0.0
235,SsI,0.0
153,nssssNp,0.0
292,mindsssP,0.0
251,minHsSH,0.0
461,n3Ring,0.0
285,minssssNp,0.0
467,n12Ring,0.0
